2981446991,659153627504902144,RT @Davesmith37: @PTSD_Film @Maria_Savva @goodreads @Indiegogo A poem I wrote to help raise awareness https://t.co/VRm3KBXcdO,3
131288500,659153610824093697,"RT @Independent: 'I didn't believe in PTSD - until I found myself being shot at, wishing for my mother' https://t.co/8eKvnCB95w",4
2979388521,659153392707764228,@ChelseaClinton US rape/trafficking survivor desperately needs PTSD service dog to progress in recovery. https://t.co/8XRbWqchTy Thank you!,0
2841440277,659153370603761666,"Listen Live: https://t.co/n5MrtZjaZd Interview #PTSD in the #workplace, #veteran #hiring, and #employment #success factors. #Military #Jobs",0
93961698,659153278727421952,"RT @nevergiveup2004: Outstanding . What An Incredibly Smart And Caring Young Man . 
#PTSD 
#veterans https://t.co/ALYGaZxy5c",9
3695120896,659153264651411456,"Things might be rough now, unbearable even, but it WILL get better #Bipolar #Depression #PTSD Stay strong sweeties❤️ https://t.co/y8R9QvRZRu",0
3525238277,659153236335562752,"'I didn't believe in PTSD - until I found myself being shot at, wishing for my mother' https://t.co/LYtSKwtFFn",0
549330259,659153233345146881,RT @Maria_Savva: A Soldier's Story: A Film with a Cause - #Indiegogo campaign https://t.co/nVdRMkuQO0 via @goodreads @PTSD_Film https://t.c…,3
586673426,659153227817078784,"@TedTurnerIII I'm glad you think it's ""good"" my comrades that have struggled with PTSD have killed themselves. So, for that go fuck yourself",0
85058314,659153213891842048,RT @rjack888: I really like this video 'understanding trauma' from our friends at @Phoenix_Trauma https://t.co/mNGO3Y9OPJ #ptsd #projectkok…,3
2804493248,659153203242602496,RT @NZDoctor_news: Reduced activity of a brain protein linked to PTSD...suggests new target for treatment? https://t.co/zv9LIdjMnl via @Eur…,1
3074369187,659153151254249475,#Connecticut #Hartford #Newhaven Yale study raises concern over medical marijuana use for PTSD treatment https://t.co/rDNS65s35E,0
3018529359,659153117896945665,RT @DrMelanieG: Five Common Misconceptions About Trauma | https://t.co/uZlYWayqKu #trauma #ptsd #vets #pospsych,1
350766238,659153087186210816,Depression or turmoil for many PTSD the brain Share the Load,0
2415260186,659153058929119232,#MedicalStudy Yale study raises concern over medical marijuana use for PTSD treatment: NEW HAVEN &gt;&gt;... https://t.co/01v9Pl4Gcp #AfyaKenya,0
3394138406,659152998833098752,"RT @dogtimedotcom: In honor of #VeteransDay, here's how PTSD service dogs help our wounded warriors at home! https://t.co/7yIqhyYARs https:…",7
30488915,659152948149243904,"RT @BenUmstead: Be #filmcurious Celebrate @3FingersMovie, a @seedandspark funded #PTSD Drama @austinfilmfest #AFF https://t.co/buoCbKY9OS #…",1
632254162,659152879270301697,"RT @Independent: 'I didn't believe in PTSD - until I found myself being shot at, wishing for my mother' https://t.co/8eKvnCB95w",4
1518163974,659152759049068544,"@JudgeJeanine Law-&gt;rips children traumatized away parents,homes/steal animals/loose homes=PTSD=DRUGS/ALCOHOL ABUSE=LYING STEALING,ROBBERYS.",0
203958386,659152736173314050,Spread and Share - PTSD Awareness. It can affect many people not just Veterans and Law Enforcement.  https://t.co/uPFNiHHTmI,0
1337278698,659152642652938240,#PTSD and getting a good night's #Sleep Best #TalkRadio on #Military Network #Radio  Listen Live: https://t.co/JfSdKSRjr3,0
1337374436,659152635161935872,#PTSD and getting a good night's #Sleep Best #TalkRadio on #Military Network #Radio  Listen Live: https://t.co/GvwbjN72Cq,0
327338123,659152605105553409,"'I didn't believe in PTSD - until I found myself being shot at, wishing for my mother'  https://t.co/pM7VV4Fb9V",0
2800764078,659152542908026880,"RT @Independent: 'I didn't believe in PTSD - until I found myself being shot at, wishing for my mother' https://t.co/8eKvnCB95w",4
383979843,659152532774719488,"""I have permanent opossum PTSD""-Brad",0
